"quantity","year","color_name","color_rgb","color_group_id","color_group_name","color_group_rgb"
32,2008,Metallic Copper,"764D3B",19,Copper,AE7A59
31,2017,Pearl Copper,B46A00,19,Copper,AE7A59
18,2019,Pearl Copper,B46A00,19,Copper,AE7A59
18,2004,Copper,AE7A59,19,Copper,AE7A59
13,2005,Copper,AE7A59,19,Copper,AE7A59
13,2008,Copper,AE7A59,19,Copper,AE7A59
11,2018,Pearl Copper,B46A00,19,Copper,AE7A59
6,2009,Metallic Copper,"764D3B",19,Copper,AE7A59
6,2006,Speckle Black-Copper,"05131D",19,Copper,AE7A59
5,2020,Pearl Copper,B46A00,19,Copper,AE7A59
5,2006,Copper,AE7A59,19,Copper,AE7A59
4,2012,Metallic Copper,"764D3B",19,Copper,AE7A59
2,2011,Metallic Copper,"764D3B",19,Copper,AE7A59
2,2007,Copper,AE7A59,19,Copper,AE7A59
2,2001,Two-tone Copper,"945148",19,Copper,AE7A59
1186,2023,Lavender,E1D5ED,18,Lilac,"9195CA"
1115,2024,Medium Lavender,AC78BA,18,Lilac,"9195CA"
1101,2021,Medium Lavender,AC78BA,18,Lilac,"9195CA"
1098,2022,Lavender,E1D5ED,18,Lilac,"9195CA"
1083,2021,Lavender,E1D5ED,18,Lilac,"9195CA"
850,2023,Medium Lavender,AC78BA,18,Lilac,"9195CA"
782,2024,Lavender,E1D5ED,18,Lilac,"9195CA"
750,2020,Lavender,E1D5ED,18,Lilac,"9195CA"
682,2015,Medium Lavender,AC78BA,18,Lilac,"9195CA"
653,2022,Medium Lavender,AC78BA,18,Lilac,"9195CA"
526,2020,Medium Lavender,AC78BA,18,Lilac,"9195CA"
504,2018,Medium Lavender,AC78BA,18,Lilac,"9195CA"
434,2016,Medium Lavender,AC78BA,18,Lilac,"9195CA"
383,2019,Medium Lavender,AC78BA,18,Lilac,"9195CA"
373,2016,Lavender,E1D5ED,18,Lilac,"9195CA"
362,2017,Medium Lavender,AC78BA,18,Lilac,"9195CA"
337,2014,Medium Lavender,AC78BA,18,Lilac,"9195CA"
301,2015,Lavender,E1D5ED,18,Lilac,"9195CA"
301,2018,Lavender,E1D5ED,18,Lilac,"9195CA"
255,2012,Medium Lavender,AC78BA,18,Lilac,"9195CA"
251,2019,Lavender,E1D5ED,18,Lilac,"9195CA"
235,2017,Lavender,E1D5ED,18,Lilac,"9195CA"
161,2013,Medium Lavender,AC78BA,18,Lilac,"9195CA"
113,2005,Trans-Medium Purple,"8D73B3",18,Lilac,"9195CA"
97,2004,Trans-Medium Purple,"8D73B3",18,Lilac,"9195CA"
46,2005,Reddish Lilac,"8E5597",18,Lilac,"9195CA"
41,2014,Lavender,E1D5ED,18,Lilac,"9195CA"
41,2003,Trans-Medium Purple,"8D73B3",18,Lilac,"9195CA"
29,2005,Light Lilac,"9195CA",18,Lilac,"9195CA"
25,2012,Lavender,E1D5ED,18,Lilac,"9195CA"
17,2013,Lavender,E1D5ED,18,Lilac,"9195CA"
10,2003,Light Lilac,"9195CA",18,Lilac,"9195CA"
7,2006,Trans-Medium Purple,"8D73B3",18,Lilac,"9195CA"
6,2011,Medium Lavender,AC78BA,18,Lilac,"9195CA"
5,2004,Light Lilac,"9195CA",18,Lilac,"9195CA"
3,2004,Reddish Lilac,"8E5597",18,Lilac,"9195CA"
3,2006,Light Lilac,"9195CA",18,Lilac,"9195CA"
1,2011,Light Lilac,"9195CA",18,Lilac,"9195CA"
1,2011,Lavender,E1D5ED,18,Lilac,"9195CA"
1,2010,Light Lilac,"9195CA",18,Lilac,"9195CA"
1,2009,Light Lilac,"9195CA",18,Lilac,"9195CA"
4764,2021,Dark Turquoise,"008F9B",17,Turquoise,"3FB69E"
3348,2023,Dark Turquoise,"008F9B",17,Turquoise,"3FB69E"
3266,2022,Dark Turquoise,"008F9B",17,Turquoise,"3FB69E"
2166,2024,Dark Turquoise,"008F9B",17,Turquoise,"3FB69E"
2018,2023,Light Aqua,ADC3C0,17,Turquoise,"3FB69E"
1903,2020,Dark Turquoise,"008F9B",17,Turquoise,"3FB69E"
1803,2021,Light Aqua,ADC3C0,17,Turquoise,"3FB69E"
1284,2024,Light Aqua,ADC3C0,17,Turquoise,"3FB69E"
1195,2022,Light Aqua,ADC3C0,17,Turquoise,"3FB69E"
805,2019,Dark Turquoise,"008F9B",17,Turquoise,"3FB69E"
738,2020,Light Aqua,ADC3C0,17,Turquoise,"3FB69E"
511,2018,Dark Turquoise,"008F9B",17,Turquoise,"3FB69E"
489,2019,Light Aqua,ADC3C0,17,Turquoise,"3FB69E"
445,1998,Dark Turquoise,"008F9B",17,Turquoise,"3FB69E"
434,2003,Dark Turquoise,"008F9B",17,Turquoise,"3FB69E"
372,2005,Dark Turquoise,"008F9B",17,Turquoise,"3FB69E"
351,2018,Light Aqua,ADC3C0,17,Turquoise,"3FB69E"
238,1999,Dark Turquoise,"008F9B",17,Turquoise,"3FB69E"
208,2017,Light Aqua,ADC3C0,17,Turquoise,"3FB69E"
159,2016,Light Aqua,ADC3C0,17,Turquoise,"3FB69E"
106,2015,Light Aqua,ADC3C0,17,Turquoise,"3FB69E"
81,2004,Aqua,B3D7D1,17,Turquoise,"3FB69E"
80,2005,Aqua,B3D7D1,17,Turquoise,"3FB69E"
79,2012,Light Aqua,ADC3C0,17,Turquoise,"3FB69E"
79,2000,Dark Turquoise,"008F9B",17,Turquoise,"3FB69E"
79,2014,Light Aqua,ADC3C0,17,Turquoise,"3FB69E"
66,2001,Dark Turquoise,"008F9B",17,Turquoise,"3FB69E"
63,2002,Dark Turquoise,"008F9B",17,Turquoise,"3FB69E"
56,2000,Light Turquoise,"55A5AF",17,Turquoise,"3FB69E"
52,2003,Aqua,B3D7D1,17,Turquoise,"3FB69E"
45,2003,Light Turquoise,"55A5AF",17,Turquoise,"3FB69E"
44,2000,Aqua,B3D7D1,17,Turquoise,"3FB69E"
35,2004,Dark Turquoise,"008F9B",17,Turquoise,"3FB69E"
31,2006,Aqua,B3D7D1,17,Turquoise,"3FB69E"
17,2002,Aqua,B3D7D1,17,Turquoise,"3FB69E"
17,2001,Light Turquoise,"55A5AF",17,Turquoise,"3FB69E"
17,1998,Aqua,B3D7D1,17,Turquoise,"3FB69E"
16,1963,Modulex Aqua Green,"27867E",17,Turquoise,"3FB69E"
16,2013,Light Aqua,ADC3C0,17,Turquoise,"3FB69E"
10,1999,Light Turquoise,"55A5AF",17,Turquoise,"3FB69E"
9,1998,Light Turquoise,"55A5AF",17,Turquoise,"3FB69E"
5,1999,Aqua,B3D7D1,17,Turquoise,"3FB69E"
4,2002,Light Turquoise,"55A5AF",17,Turquoise,"3FB69E"
2,2003,Duplo Turquoise,"3FB69E",17,Turquoise,"3FB69E"
2,2001,Aqua,B3D7D1,17,Turquoise,"3FB69E"
1,2004,Light Turquoise,"55A5AF",17,Turquoise,"3FB69E"
1,1958,HO Light Aqua,a3d1c0,17,Turquoise,"3FB69E"
1,1965,HO Dark Turquoise,"10929d",17,Turquoise,"3FB69E"
1,1958,HO Dark Aqua,a7dccf,17,Turquoise,"3FB69E"
1,1958,HO Aqua,B3D7D1,17,Turquoise,"3FB69E"
1,2011,Light Aqua,ADC3C0,17,Turquoise,"3FB69E"
2251,2021,Flat Silver,"898788",16,Silver,C0C0C0
1936,2022,Flat Silver,"898788",16,Silver,C0C0C0
1834,2018,Flat Silver,"898788",16,Silver,C0C0C0
1827,2017,Flat Silver,"898788",16,Silver,C0C0C0
1826,2020,Flat Silver,"898788",16,Silver,C0C0C0
1701,2015,Flat Silver,"898788",16,Silver,C0C0C0
1648,2016,Flat Silver,"898788",16,Silver,C0C0C0
1546,2019,Flat Silver,"898788",16,Silver,C0C0C0
1525,2014,Flat Silver,"898788",16,Silver,C0C0C0
1398,2023,Flat Silver,"898788",16,Silver,C0C0C0
978,2024,Flat Silver,"898788",16,Silver,C0C0C0
782,2013,Flat Silver,"898788",16,Silver,C0C0C0
570,2012,Flat Silver,"898788",16,Silver,C0C0C0
530,2022,Metallic Silver,A5A9B4,16,Silver,C0C0C0
366,2011,Flat Silver,"898788",16,Silver,C0C0C0
345,2021,Metallic Silver,A5A9B4,16,Silver,C0C0C0
306,2008,Metallic Silver,A5A9B4,16,Silver,C0C0C0
254,2023,Metallic Silver,A5A9B4,16,Silver,C0C0C0
224,2019,Metallic Silver,A5A9B4,16,Silver,C0C0C0
203,2006,Metallic Silver,A5A9B4,16,Silver,C0C0C0
196,2018,Metallic Silver,A5A9B4,16,Silver,C0C0C0
195,2012,Metallic Silver,A5A9B4,16,Silver,C0C0C0
187,2013,Metallic Silver,A5A9B4,16,Silver,C0C0C0
180,2010,Flat Silver,"898788",16,Silver,C0C0C0
166,2020,Metallic Silver,A5A9B4,16,Silver,C0C0C0
155,1998,Chrome Silver,E0E0E0,16,Silver,C0C0C0
152,2014,Metallic Silver,A5A9B4,16,Silver,C0C0C0
146,2011,Metallic Silver,A5A9B4,16,Silver,C0C0C0
144,2024,Metallic Silver,A5A9B4,16,Silver,C0C0C0
134,2009,Metallic Silver,A5A9B4,16,Silver,C0C0C0
128,2004,Chrome Silver,E0E0E0,16,Silver,C0C0C0
123,2010,Metallic Silver,A5A9B4,16,Silver,C0C0C0
119,2003,Chrome Silver,E0E0E0,16,Silver,C0C0C0
108,1997,Chrome Silver,E0E0E0,16,Silver,C0C0C0
106,2002,Chrome Silver,E0E0E0,16,Silver,C0C0C0
103,2015,Metallic Silver,A5A9B4,16,Silver,C0C0C0
93,2007,Metallic Silver,A5A9B4,16,Silver,C0C0C0
92,2006,Chrome Silver,E0E0E0,16,Silver,C0C0C0
89,1999,Chrome Silver,E0E0E0,16,Silver,C0C0C0
88,1996,Chrome Silver,E0E0E0,16,Silver,C0C0C0
79,2001,Chrome Silver,E0E0E0,16,Silver,C0C0C0
65,2010,Chrome Silver,E0E0E0,16,Silver,C0C0C0
63,2005,Metallic Silver,A5A9B4,16,Silver,C0C0C0
62,2016,Metallic Silver,A5A9B4,16,Silver,C0C0C0
62,1995,Chrome Silver,E0E0E0,16,Silver,C0C0C0
56,2017,Metallic Silver,A5A9B4,16,Silver,C0C0C0
46,2000,Metallic Silver,A5A9B4,16,Silver,C0C0C0
42,2005,Speckle Black-Silver,"05131D",16,Silver,C0C0C0
41,2000,Chrome Silver,E0E0E0,16,Silver,C0C0C0
34,2006,Speckle Black-Silver,"05131D",16,Silver,C0C0C0
34,2005,Chrome Silver,E0E0E0,16,Silver,C0C0C0
32,2014,Chrome Silver,E0E0E0,16,Silver,C0C0C0
30,2007,Chrome Silver,E0E0E0,16,Silver,C0C0C0
28,2018,Chrome Silver,E0E0E0,16,Silver,C0C0C0
27,2011,Speckle Black-Silver,"05131D",16,Silver,C0C0C0
27,2013,Chrome Silver,E0E0E0,16,Silver,C0C0C0
24,1994,Chrome Silver,E0E0E0,16,Silver,C0C0C0
24,2008,Speckle Black-Silver,"05131D",16,Silver,C0C0C0
22,2009,Flat Silver,"898788",16,Silver,C0C0C0
22,2011,Chrome Silver,E0E0E0,16,Silver,C0C0C0
19,2008,Chrome Silver,E0E0E0,16,Silver,C0C0C0
18,1999,Metallic Silver,A5A9B4,16,Silver,C0C0C0
18,2009,Chrome Silver,E0E0E0,16,Silver,C0C0C0
16,1974,Metal,A5ADB4,16,Silver,C0C0C0
16,1998,Metallic Silver,A5A9B4,16,Silver,C0C0C0
13,2003,Metallic Silver,A5A9B4,16,Silver,C0C0C0
11,2004,Metallic Silver,A5A9B4,16,Silver,C0C0C0
11,1970,Metal,A5ADB4,16,Silver,C0C0C0
11,2015,Chrome Silver,E0E0E0,16,Silver,C0C0C0
10,2002,Metallic Silver,A5A9B4,16,Silver,C0C0C0
10,1958,Metal,A5ADB4,16,Silver,C0C0C0
9,2001,Metallic Silver,A5A9B4,16,Silver,C0C0C0
8,2006,Speckle DBGray-Silver,"6C6E68",16,Silver,C0C0C0
8,2012,Speckle Black-Silver,"05131D",16,Silver,C0C0C0
8,2007,Speckle Black-Silver,"05131D",16,Silver,C0C0C0
8,2016,Chrome Silver,E0E0E0,16,Silver,C0C0C0
7,2023,Chrome Silver,E0E0E0,16,Silver,C0C0C0
6,2002,Two-tone Silver,"737271",16,Silver,C0C0C0
5,2003,Metal,A5ADB4,16,Silver,C0C0C0
3,2010,Speckle Black-Silver,"05131D",16,Silver,C0C0C0
3,2012,Chrome Silver,E0E0E0,16,Silver,C0C0C0
2,2009,Speckle Black-Silver,"05131D",16,Silver,C0C0C0
2,1969,Metal,A5ADB4,16,Silver,C0C0C0
2,2004,Metal,A5ADB4,16,Silver,C0C0C0
2,1957,Metal,A5ADB4,16,Silver,C0C0C0
2,1977,Chrome Silver,E0E0E0,16,Silver,C0C0C0
1,2005,Metal,A5ADB4,16,Silver,C0C0C0
1,1962,Metal,A5ADB4,16,Silver,C0C0C0
1,1993,Chrome Silver,E0E0E0,16,Silver,C0C0C0
1,1961,Metal,A5ADB4,16,Silver,C0C0C0
1,2013,Speckle Black-Silver,"05131D",16,Silver,C0C0C0
1,2006,Metal,A5ADB4,16,Silver,C0C0C0
1646,2021,Dark Purple,"3F3691",15,Purple,"81007B"
1621,2022,Dark Purple,"3F3691",15,Purple,"81007B"
1365,2022,Magenta,"923978",15,Purple,"81007B"
1335,2023,Magenta,"923978",15,Purple,"81007B"
1332,2023,Dark Purple,"3F3691",15,Purple,"81007B"
1331,2021,Magenta,"923978",15,Purple,"81007B"
1180,2017,Dark Purple,"3F3691",15,Purple,"81007B"
1156,2020,Dark Purple,"3F3691",15,Purple,"81007B"
1128,2020,Magenta,"923978",15,Purple,"81007B"
1092,2015,Dark Purple,"3F3691",15,Purple,"81007B"
1057,2018,Dark Purple,"3F3691",15,Purple,"81007B"
1011,2019,Dark Purple,"3F3691",15,Purple,"81007B"
987,2024,Dark Purple,"3F3691",15,Purple,"81007B"
900,2024,Magenta,"923978",15,Purple,"81007B"
868,2019,Magenta,"923978",15,Purple,"81007B"
816,2016,Dark Purple,"3F3691",15,Purple,"81007B"
809,2017,Magenta,"923978",15,Purple,"81007B"
780,2015,Magenta,"923978",15,Purple,"81007B"
698,2016,Magenta,"923978",15,Purple,"81007B"
668,2024,Trans-Purple,A5A5CB,15,Purple,"81007B"
645,2018,Magenta,"923978",15,Purple,"81007B"
552,2014,Dark Purple,"3F3691",15,Purple,"81007B"
462,2011,Dark Purple,"3F3691",15,Purple,"81007B"
451,2014,Magenta,"923978",15,Purple,"81007B"
362,2022,Trans-Purple,A5A5CB,15,Purple,"81007B"
355,2012,Dark Purple,"3F3691",15,Purple,"81007B"
299,1998,Purple,"81007B",15,Purple,"81007B"
270,2013,Dark Purple,"3F3691",15,Purple,"81007B"
248,2004,Dark Purple,"3F3691",15,Purple,"81007B"
241,2018,Trans-Purple,A5A5CB,15,Purple,"81007B"
233,2017,Trans-Purple,A5A5CB,15,Purple,"81007B"
196,1999,Purple,"81007B",15,Purple,"81007B"
182,2002,Purple,"81007B",15,Purple,"81007B"
170,2013,Magenta,"923978",15,Purple,"81007B"
161,2021,Trans-Purple,A5A5CB,15,Purple,"81007B"
155,2019,Trans-Purple,A5A5CB,15,Purple,"81007B"
143,2016,Trans-Purple,A5A5CB,15,Purple,"81007B"
140,2010,Magenta,"923978",15,Purple,"81007B"
138,2015,Trans-Purple,A5A5CB,15,Purple,"81007B"
128,2023,Trans-Purple,A5A5CB,15,Purple,"81007B"
121,2003,Purple,"81007B",15,Purple,"81007B"
120,2012,Magenta,"923978",15,Purple,"81007B"
118,2024,Trans-Purple Opal,"8320B7",15,Purple,"81007B"
113,2020,Trans-Purple,A5A5CB,15,Purple,"81007B"
106,2013,Trans-Purple,A5A5CB,15,Purple,"81007B"
96,2010,Dark Purple,"3F3691",15,Purple,"81007B"
94,2001,Sand Purple,"8,45E+86",15,Purple,"81007B"
92,2000,Purple,"81007B",15,Purple,"81007B"
82,2010,Trans-Purple,A5A5CB,15,Purple,"81007B"
77,2023,Trans-Purple Opal,"8320B7",15,Purple,"81007B"
74,2003,Magenta,"923978",15,Purple,"81007B"
73,2008,Magenta,"923978",15,Purple,"81007B"
69,2005,Magenta,"923978",15,Purple,"81007B"
62,2005,Dark Purple,"3F3691",15,Purple,"81007B"
62,2006,Magenta,"923978",15,Purple,"81007B"
59,2005,Trans-Light Purple,"96709F",15,Purple,"81007B"
59,2003,Violet,"4354A3",15,Purple,"81007B"
56,2004,Magenta,"923978",15,Purple,"81007B"
46,2002,Violet,"4354A3",15,Purple,"81007B"
45,2001,Purple,"81007B",15,Purple,"81007B"
37,2012,Trans-Purple,A5A5CB,15,Purple,"81007B"
37,2019,Glitter Trans-Purple,A5A5CB,15,Purple,"81007B"
36,2005,Trans-Purple,A5A5CB,15,Purple,"81007B"
34,2009,Trans-Purple,A5A5CB,15,Purple,"81007B"
32,2008,Dark Purple,"3F3691",15,Purple,"81007B"
31,2020,Glitter Trans-Purple,A5A5CB,15,Purple,"81007B"
30,2004,Purple,"81007B",15,Purple,"81007B"
29,2024,Glitter Trans-Purple,A5A5CB,15,Purple,"81007B"
29,2005,Purple,"81007B",15,Purple,"81007B"
29,2021,Glitter Trans-Purple,A5A5CB,15,Purple,"81007B"
28,2004,Trans-Purple,A5A5CB,15,Purple,"81007B"
25,2020,Trans-Purple Opal,"8320B7",15,Purple,"81007B"
25,2006,Dark Purple,"3F3691",15,Purple,"81007B"
24,1999,Medium Bluish Violet,"6874CA",15,Purple,"81007B"
22,2002,Trans-Purple,A5A5CB,15,Purple,"81007B"
22,2007,Magenta,"923978",15,Purple,"81007B"
20,2009,Magenta,"923978",15,Purple,"81007B"
20,2014,Trans-Purple,A5A5CB,15,Purple,"81007B"
19,2023,Glitter Trans-Purple,A5A5CB,15,Purple,"81007B"
19,2006,Trans-Purple,A5A5CB,15,Purple,"81007B"
16,2000,Medium Bluish Violet,"6874CA",15,Purple,"81007B"
14,2000,Trans-Purple,A5A5CB,15,Purple,"81007B"
13,2015,Glitter Trans-Purple,A5A5CB,15,Purple,"81007B"
13,2016,Glitter Trans-Purple,A5A5CB,15,Purple,"81007B"
12,2011,Trans-Purple,A5A5CB,15,Purple,"81007B"
12,1999,Violet,"4354A3",15,Purple,"81007B"
12,2000,Violet,"4354A3",15,Purple,"81007B"
10,2007,Dark Purple,"3F3691",15,Purple,"81007B"
10,2022,Glitter Trans-Purple,A5A5CB,15,Purple,"81007B"
10,2003,Trans-Purple,A5A5CB,15,Purple,"81007B"
10,2000,Magenta,"923978",15,Purple,"81007B"
9,2003,Medium Bluish Violet,"6874CA",15,Purple,"81007B"
9,2001,Trans-Purple,A5A5CB,15,Purple,"81007B"
9,2004,Medium Bluish Violet,"6874CA",15,Purple,"81007B"
8,2006,Trans-Light Purple,"96709F",15,Purple,"81007B"
7,1963,Modulex Violet,BD7D85,15,Purple,"81007B"
7,2006,Glitter Trans-Purple,A5A5CB,15,Purple,"81007B"
7,2022,Trans-Purple Opal,"8320B7",15,Purple,"81007B"
6,2001,Dark Purple,"3F3691",15,Purple,"81007B"
6,2004,Violet,"4354A3",15,Purple,"81007B"
6,2001,Violet,"4354A3",15,Purple,"81007B"
6,2005,Glitter Trans-Medium Purple,"8D73B3",15,Purple,"81007B"
5,2018,Glitter Trans-Purple,A5A5CB,15,Purple,"81007B"
5,2008,Violet,"4354A3",15,Purple,"81007B"
5,2002,Magenta,"923978",15,Purple,"81007B"
4,2017,Glitter Trans-Purple,A5A5CB,15,Purple,"81007B"
4,2004,Glitter Trans-Purple,A5A5CB,15,Purple,"81007B"
4,2007,Trans-Purple,A5A5CB,15,Purple,"81007B"
4,2000,Trans-Light Purple,"96709F",15,Purple,"81007B"
4,2008,Trans-Purple,A5A5CB,15,Purple,"81007B"
4,2004,Medium Violet,"9,39E+07",15,Purple,"81007B"
3,2001,Magenta,"923978",15,Purple,"81007B"
3,2005,Medium Violet,"9,39E+07",15,Purple,"81007B"
3,2002,Medium Bluish Violet,"6874CA",15,Purple,"81007B"
3,2009,Dark Purple,"3F3691",15,Purple,"81007B"
2,2001,Medium Bluish Violet,"6874CA",15,Purple,"81007B"
2,2011,Magenta,"923978",15,Purple,"81007B"
2,2000,Medium Violet,"9,39E+07",15,Purple,"81007B"
1,1992,Violet,"4354A3",15,Purple,"81007B"
1,2002,Sand Purple,"8,45E+86",15,Purple,"81007B"
1,2003,Duplo Dark Purple,"5F27AA",15,Purple,"81007B"
1,1997,Purple,"81007B",15,Purple,"81007B"
1,2000,Dark Purple,"3F3691",15,Purple,"81007B"
1,2001,Medium Violet,"9,39E+07",15,Purple,"81007B"
1,2003,Sand Purple,"8,45E+86",15,Purple,"81007B"
1,1998,Violet,"4354A3",15,Purple,"81007B"
1,2000,Glitter Trans-Purple,A5A5CB,15,Purple,"81007B"
1,2002,Dark Purple,"3F3691",15,Purple,"81007B"
4657,2021,Lime,BBE90B,14,Lime,BBE90B
4317,2023,Lime,BBE90B,14,Lime,BBE90B
3193,2020,Lime,BBE90B,14,Lime,BBE90B
3114,2022,Lime,BBE90B,14,Lime,BBE90B
2302,2024,Lime,BBE90B,14,Lime,BBE90B
1943,2018,Lime,BBE90B,14,Lime,BBE90B
1912,2010,Lime,BBE90B,14,Lime,BBE90B
1839,2009,Lime,BBE90B,14,Lime,BBE90B
1787,2017,Lime,BBE90B,14,Lime,BBE90B
1765,2012,Lime,BBE90B,14,Lime,BBE90B
1723,2019,Lime,BBE90B,14,Lime,BBE90B
1602,2014,Lime,BBE90B,14,Lime,BBE90B
1556,2016,Lime,BBE90B,14,Lime,BBE90B
1524,2013,Lime,BBE90B,14,Lime,BBE90B
1338,2015,Lime,BBE90B,14,Lime,BBE90B
819,2011,Lime,BBE90B,14,Lime,BBE90B
755,2008,Lime,BBE90B,14,Lime,BBE90B
676,2007,Lime,BBE90B,14,Lime,BBE90B
525,2006,Lime,BBE90B,14,Lime,BBE90B
445,2005,Lime,BBE90B,14,Lime,BBE90B
333,2004,Lime,BBE90B,14,Lime,BBE90B
211,2003,Lime,BBE90B,14,Lime,BBE90B
197,2002,Lime,BBE90B,14,Lime,BBE90B
69,2000,Lime,BBE90B,14,Lime,BBE90B
61,2001,Lime,BBE90B,14,Lime,BBE90B
54,2004,Medium Lime,C7D23C,14,Lime,BBE90B
51,2003,Medium Lime,C7D23C,14,Lime,BBE90B
44,1998,Medium Lime,C7D23C,14,Lime,BBE90B
23,1963,Modulex Lemon,BDC618,14,Lime,BBE90B
22,2005,Light Lime,D9E4A7,14,Lime,BBE90B
19,1999,Medium Lime,C7D23C,14,Lime,BBE90B
18,2001,Medium Lime,C7D23C,14,Lime,BBE90B
13,1986,Fabuland Lime,"78FC78",14,Lime,BBE90B
12,1997,Lime,BBE90B,14,Lime,BBE90B
12,2005,Medium Lime,C7D23C,14,Lime,BBE90B
8,2000,Medium Lime,C7D23C,14,Lime,BBE90B
5,1998,Light Lime,D9E4A7,14,Lime,BBE90B
4,2004,Light Lime,D9E4A7,14,Lime,BBE90B
3,2002,Medium Lime,C7D23C,14,Lime,BBE90B
2,2007,Light Lime,D9E4A7,14,Lime,BBE90B
2,1982,Fabuland Lime,"78FC78",14,Lime,BBE90B
2,1999,Light Lime,D9E4A7,14,Lime,BBE90B
1,2006,Light Lime,D9E4A7,14,Lime,BBE90B
1,1958,HO Dark Lime,b2b955,14,Lime,BBE90B
1,1985,Fabuland Lime,"78FC78",14,Lime,BBE90B
1892,2020,Dark Pink,C870A0,13,Pink,FC97AC
1838,2020,Bright Pink,E4ADC8,13,Pink,FC97AC
1783,2021,Bright Pink,E4ADC8,13,Pink,FC97AC
1569,2023,Bright Pink,E4ADC8,13,Pink,FC97AC
1456,2024,Bright Pink,E4ADC8,13,Pink,FC97AC
1454,2021,Coral,FF698F,13,Pink,FC97AC
1451,2022,Bright Pink,E4ADC8,13,Pink,FC97AC
1393,2022,Dark Pink,C870A0,13,Pink,FC97AC
1230,2024,Dark Pink,C870A0,13,Pink,FC97AC
1175,2023,Coral,FF698F,13,Pink,FC97AC
1122,2022,Coral,FF698F,13,Pink,FC97AC
1112,2023,Dark Pink,C870A0,13,Pink,FC97AC
1090,2019,Bright Pink,E4ADC8,13,Pink,FC97AC
1003,2024,Coral,FF698F,13,Pink,FC97AC
972,2021,Dark Pink,C870A0,13,Pink,FC97AC
735,2018,Bright Pink,E4ADC8,13,Pink,FC97AC
732,2014,Bright Pink,E4ADC8,13,Pink,FC97AC
720,2019,Dark Pink,C870A0,13,Pink,FC97AC
704,2018,Dark Pink,C870A0,13,Pink,FC97AC
683,2020,Coral,FF698F,13,Pink,FC97AC
581,2022,Trans-Dark Pink,DF6695,13,Pink,FC97AC
554,2015,Bright Pink,E4ADC8,13,Pink,FC97AC
541,2012,Bright Pink,E4ADC8,13,Pink,FC97AC
526,2014,Dark Pink,C870A0,13,Pink,FC97AC
476,2015,Dark Pink,C870A0,13,Pink,FC97AC
461,2017,Dark Pink,C870A0,13,Pink,FC97AC
457,2016,Bright Pink,E4ADC8,13,Pink,FC97AC
455,2016,Dark Pink,C870A0,13,Pink,FC97AC
435,2003,Trans-Dark Pink,DF6695,13,Pink,FC97AC
424,2004,Trans-Dark Pink,DF6695,13,Pink,FC97AC
417,2013,Bright Pink,E4ADC8,13,Pink,FC97AC
377,2019,Coral,FF698F,13,Pink,FC97AC
377,2013,Dark Pink,C870A0,13,Pink,FC97AC
359,2010,Dark Pink,C870A0,13,Pink,FC97AC
355,2012,Dark Pink,C870A0,13,Pink,FC97AC
343,2018,Trans-Dark Pink,DF6695,13,Pink,FC97AC
343,2016,Trans-Dark Pink,DF6695,13,Pink,FC97AC
334,2017,Bright Pink,E4ADC8,13,Pink,FC97AC
327,2019,Trans-Dark Pink,DF6695,13,Pink,FC97AC
323,2021,Trans-Dark Pink,DF6695,13,Pink,FC97AC
299,2024,Trans-Dark Pink,DF6695,13,Pink,FC97AC
295,2005,Trans-Dark Pink,DF6695,13,Pink,FC97AC
252,2017,Trans-Dark Pink,DF6695,13,Pink,FC97AC
244,2023,Trans-Dark Pink,DF6695,13,Pink,FC97AC
243,2015,Trans-Dark Pink,DF6695,13,Pink,FC97AC
241,2020,Trans-Dark Pink,DF6695,13,Pink,FC97AC
194,1996,Medium Dark Pink,F785B1,13,Pink,FC97AC
171,2010,Bright Pink,E4ADC8,13,Pink,FC97AC
166,1994,Medium Dark Pink,F785B1,13,Pink,FC97AC
153,1997,Light Salmon,FEBABD,13,Pink,FC97AC
153,2003,Medium Dark Pink,F785B1,13,Pink,FC97AC
145,2011,Bright Pink,E4ADC8,13,Pink,FC97AC
132,2004,Dark Pink,C870A0,13,Pink,FC97AC
129,2003,Trans-Pink,E4ADC8,13,Pink,FC97AC
128,2005,Trans-Pink,E4ADC8,13,Pink,FC97AC
124,1992,Light Pink,FECCCF,13,Pink,FC97AC
116,2008,Dark Pink,C870A0,13,Pink,FC97AC
111,1996,Pink,FC97AC,13,Pink,FC97AC
110,2010,Trans-Dark Pink,DF6695,13,Pink,FC97AC
108,2007,Dark Pink,C870A0,13,Pink,FC97AC
107,2006,Trans-Dark Pink,DF6695,13,Pink,FC97AC
106,1997,Salmon,F2705E,13,Pink,FC97AC
103,1998,Medium Dark Pink,F785B1,13,Pink,FC97AC
103,2005,Dark Pink,C870A0,13,Pink,FC97AC
101,2013,Trans-Dark Pink,DF6695,13,Pink,FC97AC
98,2007,Trans-Dark Pink,DF6695,13,Pink,FC97AC
95,2006,Trans-Pink,E4ADC8,13,Pink,FC97AC
93,1993,Light Pink,FECCCF,13,Pink,FC97AC
92,2005,Bright Pink,E4ADC8,13,Pink,FC97AC
88,1999,Medium Dark Pink,F785B1,13,Pink,FC97AC
86,2004,Bright Pink,E4ADC8,13,Pink,FC97AC
85,2008,Bright Pink,E4ADC8,13,Pink,FC97AC
